Hours_Studied,Attendance,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Internet_Access,Tutoring_Sessions,Physical_Activity,Learning_Disabilities,Exam_Score,Passed,Parental_Involvement_Low,Parental_Involvement_Medium,Access_to_Resources_Low,Access_to_Resources_Medium,Motivation_Level_Low,Motivation_Level_Medium,Family_Income_Low,Family_Income_Medium,Teacher_Quality_Low,Teacher_Quality_Medium,School_Type_Public,Peer_Influence_Neutral,Peer_Influence_Positive,Parental_Education_Level_High School,Parental_Education_Level_Postgraduate,Distance_from_Home_Moderate,Distance_from_Home_Near,Gender_Male
8,99,0,9,54,1,2,5,0,67,1,0,1,0,1,1,0,1,0,0,1,1,1,0,0,1,0,1,0
12,72,1,8,84,1,1,5,0,63,1,1,0,0,1,0,1,1,0,0,1,1,0,1,1,0,0,1,0
21,65,1,6,98,1,1,4,0,64,1,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,1
24,68,0,8,56,1,3,1,0,67,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1
21,84,1,6,52,1,1,2,1,65,1,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0
19,63,0,7,94,1,1,3,0,64,1,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1
18,94,1,7,82,1,3,2,1,70,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1
11,98,1,9,82,1,1,3,0,68,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,1
16,70,1,8,98,1,2,3,0,65,1,0,1,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0,1
17,78,1,6,88,1,1,3,0,68,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0
26,61,1,6,70,1,2,3,0,64,1,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,0,0
22,86,1,7,72,1,3,2,0,68,1,1,0,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,1
9,77,0,5,57,1,2,3,0,63,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1
22,71,1,7,65,1,1,4,0,64,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1
18,68,0,7,72,1,0,3,0,64,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1,1
16,86,1,8,63,1,2,4,0,67,1,1,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,1,1
24,77,0,8,96,1,0,3,0,67,1,0,0,1,0,0,1,0,1,0,1,1,1,0,1,0,0,1,0
26,67,1,7,51,1,2,4,1,66,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
26,88,1,5,79,1,1,4,0,72,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1
15,83,0,5,89,0,1,2,1,65,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0
18,94,1,6,87,1,1,4,0,71,1,0,1,0,1,0,0,0,1,0,1,1,0,1,1,0,0,1,1
22,65,0,8,82,1,2,1,0,66,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0
26,91,1,8,71,1,0,3,0,68,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1
17,87,0,7,96,1,1,5,0,70,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0
19,65,1,10,66,1,0,3,0,62,1,0,1,0,1,1,0,1,0,0,1,1,0,1,1,0,1,0,1
13,88,1,9,88,1,2,4,0,68,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
13,78,1,9,96,1,2,3,0,67,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1
25,98,1,8,56,0,0,3,0,71,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1
28,66,1,8,97,1,0,2,0,68,1,0,1,0,0,0,1,0,1,0,1,1,1,0,1,0,0,1,1
20,86,1,8,89,1,1,3,0,69,1,0,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,1
26,75,1,4,81,1,3,2,0,70,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1
22,98,0,5,69,0,1,4,0,69,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0
16,73,0,7,95,1,1,4,0,65,1,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,1
22,98,1,7,52,0,3,3,0,70,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0
29,96,1,7,72,1,1,3,0,71,1,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,0,1
20,71,1,7,88,1,1,4,0,65,1,0,1,0,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0
29,92,0,4,91,1,2,1,0,72,1,1,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0
4,100,1,8,60,1,0,4,0,69,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
25,70,0,7,52,1,1,3,0,66,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0
21,77,1,7,90,1,4,3,0,68,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1
18,81,1,8,71,1,0,3,0,65,1,0,0,1,0,0,1,0,1,0,1,1,1,0,1,0,1,0,0
21,72,1,5,57,1,1,5,1,64,1,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,1
8,61,1,7,54,1,1,3,0,60,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1
19,69,1,7,82,1,1,2,0,65,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1
22,71,0,6,79,1,1,3,0,66,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,1
29,78,1,4,93,1,5,3,0,74,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1
17,67,1,5,52,1,2,3,0,62,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0
15,95,0,7,93,1,2,4,0,70,1,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1
17,88,1,7,94,1,0,3,0,69,1,0,1,0,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1
25,63,1,7,72,1,3,4,0,67,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
22,86,0,6,54,1,2,0,0,64,1,1,0,1,0,0,1,0,1,0,1,1,1,0,1,0,1,0,1
17,86,0,5,97,1,3,3,0,71,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1
23,98,1,7,54,1,0,3,0,68,1,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0
21,60,0,7,80,1,0,4,1,64,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,1
26,70,1,8,75,1,1,4,1,63,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0
16,97,1,6,92,1,0,4,0,71,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1
18,97,1,4,75,1,0,3,0,69,1,0,0,0,1,1,0,1,0,0,1,1,0,1,1,0,1,0,1
18,89,1,4,73,1,3,2,0,100,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0
11,91,0,6,94,1,3,3,0,68,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,1,0,1
22,64,0,7,98,0,1,3,0,62,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,1,1
22,81,1,7,77,1,2,3,0,68,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0
20,69,1,6,73,1,2,3,0,66,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1
19,67,0,5,92,1,0,3,0,64,1,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,1
12,92,0,4,92,1,2,3,1,67,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1
17,65,1,8,66,1,1,4,1,65,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0
18,79,1,7,79,1,0,3,0,65,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1
15,98,0,6,58,1,0,3,0,69,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1
19,67,0,5,82,1,1,3,0,63,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1
22,99,1,6,92,1,3,4,0,72,1,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1
31,100,0,7,59,1,2,5,0,76,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,1,0,1
21,82,1,7,66,1,3,3,1,69,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0
22,67,1,7,72,1,3,2,0,67,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0
20,73,1,9,92,1,2,3,0,69,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1
8,77,1,6,87,1,0,2,0,63,1,0,0,0,1,0,1,1,0,0,1,1,1,0,1,0,1,0,1
20,72,0,9,66,1,3,3,0,67,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,1
20,71,1,7,62,1,2,5,0,66,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1
35,99,1,7,85,1,2,2,0,79,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0
19,66,0,8,74,1,1,3,0,64,1,0,1,0,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0
22,89,1,6,80,1,1,3,0,73,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0
20,60,0,7,82,1,2,4,1,63,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1
13,84,0,5,78,1,1,2,0,65,1,0,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1
27,97,1,8,81,1,0,5,0,73,1,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0
25,72,1,8,94,1,2,4,0,70,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0
25,67,0,9,93,1,2,3,1,68,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0
15,86,1,7,57,1,1,3,0,65,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1
28,89,1,9,79,1,0,1,0,71,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
12,88,0,6,72,1,2,2,0,64,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,1
24,73,1,8,64,1,4,3,1,68,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1
33,70,1,6,82,1,1,4,0,69,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,1
14,98,0,7,76,1,0,4,0,69,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0
17,97,0,8,89,1,1,4,0,69,1,0,1,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,1
21,78,1,10,55,1,1,2,0,67,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1
17,94,1,8,65,1,4,6,0,68,1,1,0,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0
11,78,1,8,51,1,2,3,0,64,1,0,1,0,0,0,1,1,0,0,1,1,1,0,0,1,0,1,1
20,77,0,6,87,1,0,4,0,66,1,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,1,0
14,66,0,7,96,1,3,3,0,63,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1
23,77,1,7,79,1,0,2,0,66,1,0,1,0,1,0,1,1,0,0,0,1,1,0,1,0,1,0,1
14,81,0,9,81,1,1,3,0,66,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0
29,61,1,7,52,1,3,3,0,67,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
15,78,0,9,75,1,1,1,0,65,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,1
18,91,1,5,76,1,1,3,0,68,1,1,0,0,1,0,1,0,1,0,1,1,1,0,1,0,0,1,0
25,87,0,9,52,1,1,2,0,68,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1
13,85,0,6,89,1,0,1,1,65,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,1
21,96,0,8,64,1,2,0,0,71,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1
28,61,0,6,86,1,1,3,1,65,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
10,82,0,8,70,1,3,1,1,64,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0
21,91,0,6,100,1,0,2,0,72,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0
22,82,0,9,61,1,2,2,1,65,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0
25,73,0,8,53,0,0,5,0,66,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
13,65,0,6,99,1,0,4,0,61,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1
12,96,1,8,62,1,2,3,0,68,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
23,79,1,8,82,1,3,3,1,69,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0
22,95,1,6,69,1,1,3,0,72,1,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0
22,83,1,5,82,1,2,3,0,71,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0
22,87,0,5,80,1,2,3,0,70,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
16,92,1,5,85,1,1,2,0,68,1,0,1,0,0,1,0,1,0,0,1,1,1,0,1,0,1,0,1
21,86,1,5,51,1,2,2,0,67,1,1,0,0,1,0,1,1,0,0,0,1,0,1,1,0,1,0,0
22,76,1,8,92,1,1,4,0,68,1,0,1,0,1,0,1,1,0,0,0,1,1,0,1,0,0,1,0
16,81,1,8,74,1,3,2,0,68,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0
31,92,1,4,76,1,2,4,1,72,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1
23,75,0,6,71,1,0,2,0,65,1,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1
13,76,0,5,99,1,2,4,0,66,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0
24,64,1,8,90,1,0,3,0,65,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1
14,97,1,6,66,1,2,3,1,67,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0
25,64,0,5,89,1,2,4,0,66,1,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1
27,86,0,7,72,1,1,4,0,69,1,0,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,1
15,77,1,8,94,1,0,3,0,66,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1
26,76,1,6,52,1,4,3,0,69,1,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,1
22,87,1,7,68,0,0,2,0,67,1,0,0,1,0,0,1,1,0,0,1,1,1,0,1,0,0,1,1
25,63,1,6,71,1,1,3,0,66,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,1
31,84,1,9,87,1,2,3,0,71,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1
19,91,0,6,59,1,5,4,0,70,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,1
15,93,0,6,64,1,2,4,0,71,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1
15,67,1,7,86,1,1,3,0,66,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1
15,96,0,7,54,0,3,2,0,67,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1
20,86,0,8,60,1,1,4,1,66,1,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0
22,95,0,9,88,1,0,2,0,72,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1
22,79,0,9,94,1,1,3,0,68,1,0,1,0,1,0,1,0,1,0,1,1,0,1,1,0,0,1,1
25,82,0,6,86,0,3,3,0,69,1,0,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0,1,0
20,97,1,7,76,1,2,3,0,71,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,1,1
29,96,1,9,55,0,0,2,0,70,1,0,1,0,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0
18,78,0,9,91,1,2,4,0,67,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0
36,71,1,6,56,1,2,2,0,69,1,0,1,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,1
24,76,0,8,69,1,2,1,0,65,1,1,0,0,0,1,0,0,1,0,1,1,1,0,1,0,1,0,1
15,76,0,8,53,1,1,4,0,65,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,1
14,71,1,8,85,1,2,4,0,64,1,0,1,0,1,1,0,0,1,0,0,1,1,0,1,0,0,1,1
23,71,1,9,75,1,1,2,0,63,1,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1
19,94,1,5,95,1,3,2,0,69,1,1,0,0,1,0,1,1,0,1,0,1,0,1,1,0,1,0,1
24,63,1,6,57,1,1,5,0,64,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
23,87,1,8,91,1,0,3,0,72,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1
20,67,1,7,76,1,0,4,0,63,1,1,0,0,1,0,1,0,1,0,1,1,1,0,1,0,0,1,1
15,74,1,4,68,1,3,3,0,64,1,1,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,1,0
11,62,1,5,82,1,3,4,0,64,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1
17,71,1,8,90,1,5,1,0,67,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1
25,91,0,8,72,1,2,0,0,71,1,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,1
21,95,0,5,62,1,1,4,0,70,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1
13,69,1,9,96,1,0,4,0,61,1,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
21,79,1,7,66,1,2,4,0,67,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1
22,79,0,5,100,1,4,3,0,72,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1
15,95,1,6,88,1,1,5,0,66,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,1
21,91,1,5,84,1,1,2,0,70,1,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,1
20,81,1,6,51,0,3,4,1,67,1,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,1,1
13,87,1,4,72,1,2,3,0,67,1,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0
22,94,1,7,75,1,2,2,0,71,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0
23,60,1,8,69,1,1,4,0,66,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,1
26,76,1,5,57,1,1,4,0,68,1,0,1,0,1,0,1,0,1,0,1,1,0,1,1,0,0,1,1
26,96,1,7,68,1,3,3,0,74,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0
12,90,1,6,54,0,1,3,0,64,1,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,0,1,1
14,82,0,8,65,1,1,3,0,65,1,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,1
23,81,1,4,54,1,1,3,0,66,1,1,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,1,1
23,74,1,8,88,1,0,3,1,66,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1
23,81,0,4,84,1,2,5,0,68,1,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0,0,1,1
43,86,1,7,97,1,2,1,0,78,1,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0
23,77,1,6,69,1,1,2,0,67,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0
27,89,1,6,89,1,3,3,0,74,1,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1
26,94,0,5,79,1,1,2,0,74,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1
24,66,0,9,82,1,1,2,1,62,1,0,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0
18,78,1,5,77,0,2,4,0,66,1,0,0,0,1,0,1,0,1,0,1,1,1,0,1,0,0,0,1
25,76,1,5,89,1,3,3,0,69,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0
15,87,1,10,52,1,2,3,0,68,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1
19,70,0,7,54,1,0,2,1,89,1,0,1,1,0,0,0,0,1,0,1,1,0,1,1,0,1,0,1
17,86,0,5,55,0,2,4,0,66,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1
20,95,1,7,64,0,2,3,0,68,1,1,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0
34,77,1,7,80,1,0,3,0,69,1,0,1,1,0,1,0,0,1,0,1,1,0,1,1,0,0,1,1
9,96,1,4,82,0,0,4,0,67,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,1
24,100,1,6,86,1,2,5,0,75,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,1
10,64,0,7,64,1,0,4,1,60,1,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0
17,69,1,9,83,1,2,4,1,66,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0
27,98,1,7,56,1,1,3,0,73,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
20,98,0,7,50,1,1,2,0,68,1,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0
14,64,1,6,85,1,0,3,0,62,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,0,1,1
16,61,0,9,86,1,2,2,0,62,1,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,1,1
24,66,1,8,81,1,1,4,0,65,1,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1
16,100,1,8,63,1,2,3,0,69,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1
